Vehicle Type,Brand,Model,Year,Range (km),Top Speed (km/h)
Scooter,Ola Electric,S1 Pro,2019,463,156
Bike,PURE EV,eTryst 350,2022,132,159
Bike,Tork Motors,Kratos,2022,301,79
Scooter,Ola Electric,S1 Pro,2023,432,173
Bike,Ultraviolette,F77,2022,103,162
Bike,Revolt Motors,RV400,2023,123,118
Bike,Tork Motors,Kratos,2021,254,102
Bike,Revolt Motors,RV400,2019,96,108
Scooter,Ather,450X,2020,134,151
Scooter,Ather,450X,2020,227,64
Car,Mahindra,eVerito,2020,184,121
Scooter,Hero Electric,Optima,2021,411,179
Car,BYD,Atto 3,2022,229,108
Scooter,Ather,450X,2020,365,158
Bike,Revolt Motors,RV400,2019,287,156
Scooter,Ola Electric,S1 Pro,2022,401,98
Bike,Revolt Motors,RV400,2021,352,153
Scooter,TVS,iQube,2022,212,145
Car,Hyundai,Kona Electric,2022,105,92
Scooter,TVS,iQube,2019,128,79
Scooter,Bajaj,Chetak,2021,355,162
Car,Hyundai,Kona Electric,2019,486,109
Car,MG,ZS EV,2019,148,87
Bike,Tork Motors,Kratos,2020,281,158
Scooter,Bajaj,Chetak,2022,251,83
Bike,Tork Motors,Kratos,2020,112,102
Car,Mahindra,eVerito,2021,406,75
Bike,Oben Electric,Rorr,2019,355,169
Bike,PURE EV,eTryst 350,2020,125,147
Scooter,Bajaj,Chetak,2023,409,120
Bike,PURE EV,eTryst 350,2019,255,103
Bike,Oben Electric,Rorr,2020,395,84
Car,BYD,Atto 3,2021,200,71
Scooter,Bajaj,Chetak,2019,369,128
Scooter,Hero Electric,Optima,2019,111,79
Scooter,Hero Electric,Optima,2023,361,96
Scooter,Ather,450X,2020,483,104
Scooter,Bajaj,Chetak,2023,174,149
Bike,Revolt Motors,RV400,2022,152,92
Bike,Revolt Motors,RV400,2021,183,129
Bike,Tork Motors,Kratos,2020,386,78
Bike,Oben Electric,Rorr,2023,149,99
Bike,PURE EV,eTryst 350,2023,135,162
Scooter,Ola Electric,S1 Pro,2023,409,160
Car,MG,ZS EV,2023,301,105
Car,Mahindra,eVerito,2019,151,101
Scooter,Hero Electric,Optima,2019,184,174
Car,BYD,Atto 3,2022,155,125
Bike,Revolt Motors,RV400,2022,277,144
Bike,Ultraviolette,F77,2023,206,156
Car,MG,ZS EV,2023,490,67
Car,Tata Motors,Nexon EV,2023,370,62
Scooter,Ola Electric,S1 Pro,2022,484,102
Car,Hyundai,Kona Electric,2022,466,107
Bike,Ultraviolette,F77,2023,139,60
Bike,Revolt Motors,RV400,2020,369,94
Bike,Oben Electric,Rorr,2020,250,177
Scooter,Hero Electric,Optima,2022,393,104
Bike,PURE EV,eTryst 350,2022,112,102
Car,BYD,Atto 3,2020,372,153
Car,Tata Motors,Nexon EV,2023,158,140
Scooter,Bajaj,Chetak,2019,498,82
Car,MG,ZS EV,2023,232,127
Car,MG,ZS EV,2022,100,128
Car,Tata Motors,Nexon EV,2019,477,125
Bike,Oben Electric,Rorr,2019,133,128
Car,Hyundai,Kona Electric,2022,164,112
Scooter,TVS,iQube,2021,246,131
Bike,Ultraviolette,F77,2019,184,102
Scooter,Ather,450X,2022,427,167
Bike,Oben Electric,Rorr,2022,192,77
Scooter,Bajaj,Chetak,2019,358,159
Scooter,TVS,iQube,2022,252,73
Bike,Ultraviolette,F77,2022,136,122
Car,Hyundai,Kona Electric,2020,232,179
Scooter,Bajaj,Chetak,2020,303,155
Scooter,Bajaj,Chetak,2023,129,108
Car,MG,ZS EV,2020,497,111
Bike,Ultraviolette,F77,2020,349,79
Car,MG,ZS EV,2019,295,147
Bike,Oben Electric,Rorr,2020,167,156
Bike,Oben Electric,Rorr,2020,114,60
Scooter,Hero Electric,Optima,2022,484,113
Car,BYD,Atto 3,2021,364,68
Bike,Revolt Motors,RV400,2022,78,118
Scooter,Bajaj,Chetak,2023,268,78
Bike,Oben Electric,Rorr,2020,183,61
Scooter,Ather,450X,2023,370,113
Scooter,Hero Electric,Optima,2021,333,94
Car,Mahindra,eVerito,2022,405,69
Scooter,Hero Electric,Optima,2019,76,129
Bike,Oben Electric,Rorr,2021,292,77
Scooter,Ather,450X,2021,153,85
Bike,PURE EV,eTryst 350,2022,485,87
Car,Hyundai,Kona Electric,2021,396,155
Scooter,Ola Electric,S1 Pro,2023,93,127
Bike,Tork Motors,Kratos,2019,435,104
Car,Tata Motors,Nexon EV,2022,138,91
Bike,Ultraviolette,F77,2022,114,126
Scooter,TVS,iQube,2023,227,159
Bike,Tork Motors,Kratos,2023,142,169
Bike,PURE EV,eTryst 350,2023,257,88
Scooter,Ather,450X,2021,411,131
Bike,Tork Motors,Kratos,2021,359,77
Car,Mahindra,eVerito,2020,338,95
Car,Mahindra,eVerito,2020,126,65
Scooter,Hero Electric,Optima,2020,277,124
Bike,Tork Motors,Kratos,2022,487,95
Car,Tata Motors,Nexon EV,2021,98,60
Scooter,Bajaj,Chetak,2021,320,166
Car,Tata Motors,Nexon EV,2019,268,136
Scooter,Bajaj,Chetak,2021,450,140
Bike,Ultraviolette,F77,2023,417,176
Scooter,Ola Electric,S1 Pro,2020,333,101
Scooter,Ather,450X,2021,76,178
Car,Hyundai,Kona Electric,2019,491,112
Car,Mahindra,eVerito,2021,487,165
Bike,Tork Motors,Kratos,2021,428,159
Bike,PURE EV,eTryst 350,2019,272,142
Scooter,Hero Electric,Optima,2021,271,76
Scooter,Ola Electric,S1 Pro,2021,437,93
Scooter,TVS,iQube,2022,412,94
Scooter,Ather,450X,2022,397,69
Car,BYD,Atto 3,2021,473,134
Bike,Oben Electric,Rorr,2023,325,68
Bike,PURE EV,eTryst 350,2019,171,162
Scooter,TVS,iQube,2019,160,115
Bike,Tork Motors,Kratos,2020,372,168
Scooter,Hero Electric,Optima,2019,351,107
Scooter,Bajaj,Chetak,2022,342,86
Scooter,Ather,450X,2020,115,132
Bike,Tork Motors,Kratos,2022,405,83
Car,Tata Motors,Nexon EV,2021,89,148
Scooter,TVS,iQube,2019,133,169
Bike,Ultraviolette,F77,2023,319,139
Scooter,Bajaj,Chetak,2021,200,66
Bike,PURE EV,eTryst 350,2021,448,64
Car,BYD,Atto 3,2023,392,116
Scooter,Hero Electric,Optima,2021,170,165
Scooter,Ola Electric,S1 Pro,2020,250,168
Bike,Ultraviolette,F77,2019,392,162
Bike,PURE EV,eTryst 350,2020,332,106
Scooter,Ola Electric,S1 Pro,2021,405,146
Bike,Tork Motors,Kratos,2021,499,155
Bike,Ultraviolette,F77,2020,77,97
Scooter,Ola Electric,S1 Pro,2019,204,125
Car,Tata Motors,Nexon EV,2021,335,120
Scooter,Hero Electric,Optima,2020,190,143
Scooter,Hero Electric,Optima,2021,224,120
Scooter,Ola Electric,S1 Pro,2020,105,105
Bike,Tork Motors,Kratos,2020,265,174
Scooter,Ather,450X,2020,237,107
Bike,Revolt Motors,RV400,2023,125,119
Scooter,Ola Electric,S1 Pro,2020,285,60
Bike,Revolt Motors,RV400,2019,245,115
Bike,Tork Motors,Kratos,2019,352,138
Bike,PURE EV,eTryst 350,2019,268,77
Scooter,Bajaj,Chetak,2022,346,98
Bike,Oben Electric,Rorr,2020,310,131
Car,Mahindra,eVerito,2020,485,165
Car,MG,ZS EV,2021,90,77
Car,Tata Motors,Nexon EV,2021,397,104
Scooter,Bajaj,Chetak,2023,489,145
Car,MG,ZS EV,2020,428,142
Car,Tata Motors,Nexon EV,2021,469,60
Scooter,Bajaj,Chetak,2022,173,136
Scooter,Hero Electric,Optima,2020,229,132
Scooter,Ather,450X,2020,461,166
Bike,Oben Electric,Rorr,2023,221,164
Scooter,Bajaj,Chetak,2019,102,93
Scooter,Ather,450X,2023,306,69
Bike,Revolt Motors,RV400,2023,332,155
Bike,PURE EV,eTryst 350,2021,432,123
Bike,Tork Motors,Kratos,2019,212,163
Car,BYD,Atto 3,2020,460,166
Bike,Revolt Motors,RV400,2023,415,103
Car,Mahindra,eVerito,2019,88,99
Scooter,Hero Electric,Optima,2019,447,101
Scooter,Ather,450X,2019,290,165
Bike,Tork Motors,Kratos,2021,112,163
Bike,Ultraviolette,F77,2019,167,165
Car,BYD,Atto 3,2020,393,119
Bike,Ultraviolette,F77,2022,368,153
Car,Mahindra,eVerito,2022,109,130
Scooter,Ola Electric,S1 Pro,2022,167,175
Car,Hyundai,Kona Electric,2022,281,160
Car,Tata Motors,Nexon EV,2023,282,166
Scooter,Ather,450X,2020,283,159
Bike,Revolt Motors,RV400,2020,426,62
Bike,PURE EV,eTryst 350,2020,303,151
Car,MG,ZS EV,2021,95,105
Bike,Ultraviolette,F77,2023,471,108
Scooter,Ather,450X,2021,332,62
Scooter,Bajaj,Chetak,2023,306,91
Bike,Ultraviolette,F77,2021,440,81
Scooter,Bajaj,Chetak,2020,492,88
Car,BYD,Atto 3,2021,443,100
Bike,Oben Electric,Rorr,2021,188,166
Scooter,Ather,450X,2023,273,137
Car,Mahindra,eVerito,2023,344,129
Car,Mahindra,eVerito,2019,247,71
Bike,Ultraviolette,F77,2019,256,149
Scooter,TVS,iQube,2019,284,89
Car,BYD,Atto 3,2023,305,99
Bike,Oben Electric,Rorr,2022,160,123
Car,BYD,Atto 3,2022,396,173
Car,Tata Motors,Nexon EV,2022,110,115
Bike,Oben Electric,Rorr,2020,142,90
Car,Tata Motors,Nexon EV,2021,156,112
Car,Tata Motors,Nexon EV,2020,367,116
Scooter,Ather,450X,2019,492,61
Scooter,Ather,450X,2019,338,74
Scooter,TVS,iQube,2022,225,84
Scooter,Ola Electric,S1 Pro,2019,443,66
Bike,Ultraviolette,F77,2019,433,77
Car,Hyundai,Kona Electric,2021,158,100
Bike,Ultraviolette,F77,2021,417,116
Scooter,Bajaj,Chetak,2022,448,137
Scooter,Bajaj,Chetak,2020,175,150
Scooter,Bajaj,Chetak,2020,437,171
Car,Tata Motors,Nexon EV,2021,210,170
Bike,PURE EV,eTryst 350,2022,425,148
Scooter,TVS,iQube,2020,469,143
Scooter,Ather,450X,2019,92,149
Bike,Oben Electric,Rorr,2019,268,67
Car,MG,ZS EV,2021,186,117
Scooter,Ather,450X,2019,325,143
Bike,PURE EV,eTryst 350,2021,91,146
Scooter,TVS,iQube,2019,342,148
Car,Hyundai,Kona Electric,2020,181,157
Bike,PURE EV,eTryst 350,2022,170,71
Bike,Revolt Motors,RV400,2020,233,106
Scooter,Ola Electric,S1 Pro,2019,418,89
Car,BYD,Atto 3,2019,319,156
Car,Mahindra,eVerito,2019,178,172
Scooter,Ola Electric,S1 Pro,2021,393,154
Car,MG,ZS EV,2020,136,96
Scooter,TVS,iQube,2021,496,105
Car,Tata Motors,Nexon EV,2023,93,124
Car,Tata Motors,Nexon EV,2022,175,149
Scooter,Ather,450X,2020,276,116
Scooter,Ola Electric,S1 Pro,2022,169,155
Scooter,Hero Electric,Optima,2020,279,146
Scooter,Hero Electric,Optima,2019,373,99
Car,Mahindra,eVerito,2020,411,116
Scooter,TVS,iQube,2019,177,138
Car,Tata Motors,Nexon EV,2020,272,60
Scooter,Ola Electric,S1 Pro,2023,356,154
Scooter,Bajaj,Chetak,2022,111,111
Scooter,TVS,iQube,2021,406,118
Car,Mahindra,eVerito,2020,173,119
Bike,PURE EV,eTryst 350,2019,93,67
Bike,Revolt Motors,RV400,2021,241,164
Car,MG,ZS EV,2020,410,87
Car,Tata Motors,Nexon EV,2023,102,69
Car,MG,ZS EV,2022,207,122
Bike,Tork Motors,Kratos,2020,410,86
Car,Mahindra,eVerito,2022,415,144
Car,Mahindra,eVerito,2021,89,96
Scooter,TVS,iQube,2019,486,166
Car,Hyundai,Kona Electric,2023,94,134
Scooter,TVS,iQube,2021,327,164
Scooter,Ola Electric,S1 Pro,2021,161,91
Scooter,Ather,450X,2020,128,174
Car,Hyundai,Kona Electric,2019,338,64
Bike,Ultraviolette,F77,2021,158,141
Scooter,Ola Electric,S1 Pro,2023,500,117
Car,Tata Motors,Nexon EV,2023,252,122
Bike,Ultraviolette,F77,2022,231,108
Bike,Ultraviolette,F77,2020,251,106
Scooter,Ola Electric,S1 Pro,2022,189,119
Car,Mahindra,eVerito,2023,342,115
Bike,Tork Motors,Kratos,2019,283,136
Car,MG,ZS EV,2022,187,86
Car,Tata Motors,Nexon EV,2020,287,103
Scooter,Hero Electric,Optima,2022,309,83
Bike,Revolt Motors,RV400,2021,453,153
Car,Mahindra,eVerito,2023,149,175
Bike,Tork Motors,Kratos,2019,168,148
Scooter,Bajaj,Chetak,2020,458,81
Scooter,Hero Electric,Optima,2022,110,164
Bike,Ultraviolette,F77,2019,171,132
Car,Tata Motors,Nexon EV,2023,208,84
Car,Hyundai,Kona Electric,2021,346,101
Car,BYD,Atto 3,2021,461,153
Bike,PURE EV,eTryst 350,2022,429,142
Scooter,Ola Electric,S1 Pro,2022,375,146
Car,Mahindra,eVerito,2021,336,170
Scooter,TVS,iQube,2023,393,144
Scooter,Hero Electric,Optima,2020,405,154
Car,Mahindra,eVerito,2019,294,129
Bike,PURE EV,eTryst 350,2022,163,65
Car,BYD,Atto 3,2019,328,87
Scooter,Ola Electric,S1 Pro,2022,371,87
Car,BYD,Atto 3,2023,481,169
Scooter,TVS,iQube,2021,391,170
Car,BYD,Atto 3,2020,101,87
Scooter,Ather,450X,2021,176,125
Car,Tata Motors,Nexon EV,2020,219,152
Scooter,Ather,450X,2019,134,143
Car,MG,ZS EV,2021,183,73
Bike,Revolt Motors,RV400,2022,205,99
Scooter,TVS,iQube,2023,119,61
Bike,Ultraviolette,F77,2023,191,180
Car,Hyundai,Kona Electric,2019,355,159
Bike,Tork Motors,Kratos,2023,274,127
Bike,Revolt Motors,RV400,2021,479,91
Bike,Ultraviolette,F77,2020,395,112
Car,MG,ZS EV,2021,436,165
Car,Tata Motors,Nexon EV,2020,113,121
Bike,Tork Motors,Kratos,2019,436,66
Bike,PURE EV,eTryst 350,2023,499,139
Scooter,Ola Electric,S1 Pro,2019,393,147
Bike,Ultraviolette,F77,2019,458,163
Scooter,Ola Electric,S1 Pro,2023,255,83
Bike,Revolt Motors,RV400,2021,436,61
Scooter,Ather,450X,2023,216,86
Bike,PURE EV,eTryst 350,2020,161,172
Scooter,TVS,iQube,2022,383,73
Bike,Tork Motors,Kratos,2023,147,167
Car,MG,ZS EV,2023,81,169
Car,BYD,Atto 3,2020,129,98
Car,Mahindra,eVerito,2023,98,119
Car,BYD,Atto 3,2021,193,98
Bike,Ultraviolette,F77,2019,181,141
Bike,Revolt Motors,RV400,2023,96,103
Scooter,TVS,iQube,2023,394,155
Scooter,Ola Electric,S1 Pro,2019,277,93
Car,MG,ZS EV,2022,437,143
Car,Tata Motors,Nexon EV,2023,371,89
Car,MG,ZS EV,2020,337,101
Scooter,TVS,iQube,2023,416,135
Scooter,Bajaj,Chetak,2022,418,172
Scooter,Bajaj,Chetak,2020,268,110
Car,BYD,Atto 3,2020,182,159
Car,Hyundai,Kona Electric,2020,445,141
Bike,Tork Motors,Kratos,2022,223,113
Car,MG,ZS EV,2021,297,98
Car,Mahindra,eVerito,2023,196,135
Car,Hyundai,Kona Electric,2020,114,128
Bike,Revolt Motors,RV400,2021,243,171
Car,Hyundai,Kona Electric,2020,492,79
Scooter,TVS,iQube,2019,419,127
Bike,Oben Electric,Rorr,2022,178,138
Car,Tata Motors,Nexon EV,2022,322,144
Car,Mahindra,eVerito,2020,408,132
Car,BYD,Atto 3,2020,298,73
Car,Hyundai,Kona Electric,2020,87,104
Car,Tata Motors,Nexon EV,2019,189,117
Car,Hyundai,Kona Electric,2021,91,145
Bike,Ultraviolette,F77,2020,262,179
Scooter,Bajaj,Chetak,2021,258,110
Scooter,Ather,450X,2020,395,123
Car,Hyundai,Kona Electric,2023,273,75
Car,Hyundai,Kona Electric,2021,91,85
Car,BYD,Atto 3,2023,356,120
Car,Tata Motors,Nexon EV,2023,270,151
Scooter,Hero Electric,Optima,2021,288,133
Scooter,Ola Electric,S1 Pro,2022,170,159
Bike,PURE EV,eTryst 350,2020,75,180
Car,Tata Motors,Nexon EV,2019,158,60
Car,BYD,Atto 3,2020,393,127
Bike,Tork Motors,Kratos,2019,166,149
Car,MG,ZS EV,2021,208,97
Scooter,Hero Electric,Optima,2023,176,137
Scooter,Ather,450X,2022,438,87
Bike,Oben Electric,Rorr,2019,201,116
Car,MG,ZS EV,2023,180,64
Scooter,Bajaj,Chetak,2023,394,91
Car,BYD,Atto 3,2021,300,131
Car,Mahindra,eVerito,2020,467,78
Car,Tata Motors,Nexon EV,2023,324,146
Car,BYD,Atto 3,2022,412,103
Car,Hyundai,Kona Electric,2022,181,160
Bike,Tork Motors,Kratos,2021,213,70
Car,Hyundai,Kona Electric,2019,223,73
Car,Tata Motors,Nexon EV,2022,290,153
Car,Hyundai,Kona Electric,2019,356,125
Scooter,Ather,450X,2020,86,111
Car,BYD,Atto 3,2022,420,158
Bike,Oben Electric,Rorr,2019,274,158
Bike,Oben Electric,Rorr,2019,298,158
Scooter,Ather,450X,2020,166,92
Bike,PURE EV,eTryst 350,2021,164,122
Car,Tata Motors,Nexon EV,2023,470,117
Scooter,Ather,450X,2020,297,69
Bike,Oben Electric,Rorr,2022,322,91
Scooter,Ather,450X,2022,259,163
Bike,Tork Motors,Kratos,2020,144,66
Scooter,Hero Electric,Optima,2022,280,84
Bike,Revolt Motors,RV400,2023,173,133
Car,Tata Motors,Nexon EV,2023,466,168
Bike,PURE EV,eTryst 350,2022,89,142
Bike,Oben Electric,Rorr,2023,303,97
Bike,Tork Motors,Kratos,2020,459,163
Bike,Ultraviolette,F77,2020,486,100
Bike,PURE EV,eTryst 350,2021,99,79
Car,MG,ZS EV,2019,122,96
Scooter,Bajaj,Chetak,2020,144,160
Scooter,Ola Electric,S1 Pro,2020,84,96
Car,BYD,Atto 3,2022,423,160
Scooter,TVS,iQube,2022,476,114
Bike,Tork Motors,Kratos,2019,295,133
Car,MG,ZS EV,2022,244,91
Bike,Tork Motors,Kratos,2022,171,81
Bike,Tork Motors,Kratos,2019,251,74
Car,Tata Motors,Nexon EV,2023,414,95
Scooter,Hero Electric,Optima,2023,327,155
Bike,Oben Electric,Rorr,2022,381,69
Car,Hyundai,Kona Electric,2022,489,97
Car,BYD,Atto 3,2022,344,95
Scooter,Ather,450X,2023,234,100
Scooter,Bajaj,Chetak,2020,348,167
Bike,Revolt Motors,RV400,2019,425,87
Car,MG,ZS EV,2019,277,113
Scooter,TVS,iQube,2022,214,177
Bike,PURE EV,eTryst 350,2022,195,83
Bike,Oben Electric,Rorr,2022,265,96
Car,Mahindra,eVerito,2019,286,140
Scooter,Hero Electric,Optima,2022,266,72
Bike,Tork Motors,Kratos,2021,229,128
Scooter,Ola Electric,S1 Pro,2021,399,180
Bike,Tork Motors,Kratos,2019,400,82
Scooter,Bajaj,Chetak,2022,189,96
Scooter,Ola Electric,S1 Pro,2020,332,66
Bike,Oben Electric,Rorr,2020,203,113
Scooter,Hero Electric,Optima,2022,424,145
Scooter,Bajaj,Chetak,2022,497,132
Bike,Oben Electric,Rorr,2019,85,93
Car,Mahindra,eVerito,2023,245,101
Car,Mahindra,eVerito,2023,385,160
Bike,Oben Electric,Rorr,2021,239,65
Scooter,Hero Electric,Optima,2023,183,162
Bike,PURE EV,eTryst 350,2022,271,126
Scooter,Ola Electric,S1 Pro,2023,100,164
Car,Hyundai,Kona Electric,2023,189,110
Bike,PURE EV,eTryst 350,2023,411,138
Car,BYD,Atto 3,2021,85,144
Scooter,Ola Electric,S1 Pro,2020,358,91
Car,Mahindra,eVerito,2023,348,69
Scooter,Bajaj,Chetak,2019,137,144
Bike,PURE EV,eTryst 350,2022,337,89
Scooter,Ather,450X,2021,321,156
Car,Hyundai,Kona Electric,2019,482,122
Scooter,Bajaj,Chetak,2019,122,154
Bike,PURE EV,eTryst 350,2019,141,69
Scooter,Ola Electric,S1 Pro,2021,384,171
Bike,Tork Motors,Kratos,2020,165,97
Car,Hyundai,Kona Electric,2019,289,133
Bike,Ultraviolette,F77,2021,476,178
Car,Mahindra,eVerito,2022,311,78
Scooter,Hero Electric,Optima,2019,252,79
Scooter,Bajaj,Chetak,2021,353,164
Bike,Oben Electric,Rorr,2023,399,118
Bike,Tork Motors,Kratos,2022,412,170
Bike,Revolt Motors,RV400,2020,390,65
Scooter,TVS,iQube,2019,245,147
Scooter,TVS,iQube,2022,382,120
Bike,Revolt Motors,RV400,2023,177,135
Scooter,Ather,450X,2023,482,163
Car,MG,ZS EV,2023,412,81
Scooter,Ola Electric,S1 Pro,2020,188,120
Bike,Oben Electric,Rorr,2019,118,111
Bike,Tork Motors,Kratos,2023,451,95
Bike,Oben Electric,Rorr,2020,305,93
Bike,PURE EV,eTryst 350,2020,201,70
Car,Mahindra,eVerito,2023,276,121
Scooter,TVS,iQube,2019,418,99
Scooter,Bajaj,Chetak,2023,458,155
Scooter,Ola Electric,S1 Pro,2019,153,115
Scooter,Hero Electric,Optima,2020,225,99
Bike,Oben Electric,Rorr,2022,384,157
Scooter,Hero Electric,Optima,2021,219,85
Bike,PURE EV,eTryst 350,2023,248,151
Bike,Ultraviolette,F77,2020,188,120
Car,MG,ZS EV,2020,457,131
Car,MG,ZS EV,2022,482,61
Car,Tata Motors,Nexon EV,2022,406,61
Car,BYD,Atto 3,2022,123,72
Bike,Tork Motors,Kratos,2023,498,151
Scooter,Ather,450X,2020,122,77
Bike,Tork Motors,Kratos,2019,257,107
Bike,PURE EV,eTryst 350,2023,242,125
Car,Hyundai,Kona Electric,2023,309,88
Scooter,TVS,iQube,2022,373,90
Scooter,Hero Electric,Optima,2022,332,139
Car,Hyundai,Kona Electric,2020,256,113
Scooter,Bajaj,Chetak,2021,381,156
Bike,Ultraviolette,F77,2022,257,134
Bike,PURE EV,eTryst 350,2023,429,126
Car,Tata Motors,Nexon EV,2022,180,126
Bike,Revolt Motors,RV400,2020,210,86
Car,Mahindra,eVerito,2022,86,123
Scooter,TVS,iQube,2023,223,108
Scooter,Hero Electric,Optima,2022,187,105
Bike,Revolt Motors,RV400,2021,286,141
Scooter,TVS,iQube,2023,370,178
Car,Tata Motors,Nexon EV,2021,393,65
Car,MG,ZS EV,2022,164,113
Scooter,TVS,iQube,2022,400,62
Bike,Tork Motors,Kratos,2021,155,174
Car,BYD,Atto 3,2020,422,107
Car,Hyundai,Kona Electric,2021,477,93
Scooter,TVS,iQube,2022,491,125
Car,Hyundai,Kona Electric,2019,116,133
Bike,Revolt Motors,RV400,2022,229,143
Car,Hyundai,Kona Electric,2022,290,77
Scooter,Hero Electric,Optima,2022,408,118
Bike,Ultraviolette,F77,2020,488,162
Scooter,Bajaj,Chetak,2021,345,146
Bike,Oben Electric,Rorr,2020,152,132
Scooter,Bajaj,Chetak,2022,226,95
Bike,Tork Motors,Kratos,2023,214,80
Scooter,Hero Electric,Optima,2021,219,132
Bike,Tork Motors,Kratos,2019,207,175
Bike,PURE EV,eTryst 350,2020,258,113
Bike,Tork Motors,Kratos,2020,223,95
Scooter,Ather,450X,2019,412,65
Bike,Tork Motors,Kratos,2020,275,179
Bike,Oben Electric,Rorr,2019,168,124
Car,BYD,Atto 3,2020,299,72
Bike,Ultraviolette,F77,2023,278,127
Scooter,Bajaj,Chetak,2023,314,122
Bike,Revolt Motors,RV400,2019,165,179
Scooter,TVS,iQube,2023,84,135
Car,Tata Motors,Nexon EV,2020,295,177
Car,Tata Motors,Nexon EV,2021,223,92
Car,Mahindra,eVerito,2022,449,166
Bike,Oben Electric,Rorr,2023,350,74
Scooter,Ather,450X,2019,284,97
Scooter,Bajaj,Chetak,2022,101,125
Bike,Tork Motors,Kratos,2023,217,109
Scooter,Ola Electric,S1 Pro,2020,267,67
Car,Tata Motors,Nexon EV,2021,80,143
Bike,Tork Motors,Kratos,2020,95,120
Scooter,TVS,iQube,2020,278,141
Bike,Ultraviolette,F77,2020,89,66
Scooter,Ola Electric,S1 Pro,2019,90,160
Car,MG,ZS EV,2022,240,106
Bike,PURE EV,eTryst 350,2022,76,162
Bike,Revolt Motors,RV400,2021,450,170
Scooter,Ather,450X,2023,129,135
Scooter,Bajaj,Chetak,2023,121,138
Bike,Revolt Motors,RV400,2022,146,120
Scooter,TVS,iQube,2020,251,140
Car,MG,ZS EV,2019,330,99
Bike,Ultraviolette,F77,2019,490,66
Bike,Tork Motors,Kratos,2020,398,173
Scooter,Ola Electric,S1 Pro,2022,127,160
Scooter,Hero Electric,Optima,2023,447,135
Scooter,Ola Electric,S1 Pro,2021,356,69
Car,Hyundai,Kona Electric,2022,444,163
Car,Mahindra,eVerito,2022,396,102
Car,MG,ZS EV,2021,468,95
Car,Hyundai,Kona Electric,2020,440,64
Bike,Oben Electric,Rorr,2020,182,102
Car,BYD,Atto 3,2022,456,78
Car,BYD,Atto 3,2021,223,121
Scooter,Ather,450X,2023,201,175
Car,MG,ZS EV,2023,278,161
Bike,Ultraviolette,F77,2022,453,77
Scooter,Bajaj,Chetak,2021,390,98
Scooter,Bajaj,Chetak,2022,323,178
Bike,PURE EV,eTryst 350,2021,347,180
Scooter,Ola Electric,S1 Pro,2021,163,108
Car,MG,ZS EV,2022,124,108
Bike,Revolt Motors,RV400,2021,403,101
Scooter,Bajaj,Chetak,2019,265,152
Bike,Revolt Motors,RV400,2020,365,84
Scooter,TVS,iQube,2023,362,100
Scooter,TVS,iQube,2023,304,168
Scooter,Bajaj,Chetak,2022,363,180
Car,Tata Motors,Nexon EV,2019,214,74
Bike,Oben Electric,Rorr,2022,329,99
Car,Tata Motors,Nexon EV,2022,338,104
Car,BYD,Atto 3,2023,155,88
Scooter,Ola Electric,S1 Pro,2019,397,81
Scooter,TVS,iQube,2021,85,161
Bike,Revolt Motors,RV400,2019,488,78
Bike,PURE EV,eTryst 350,2020,176,164
Bike,Oben Electric,Rorr,2020,106,129
Bike,Ultraviolette,F77,2020,294,114
Bike,Ultraviolette,F77,2019,338,68
Scooter,Bajaj,Chetak,2021,413,75
Car,Tata Motors,Nexon EV,2021,433,98
Scooter,Bajaj,Chetak,2019,431,115
Car,Tata Motors,Nexon EV,2023,358,171
Bike,Ultraviolette,F77,2020,114,114
Scooter,Hero Electric,Optima,2021,472,88
Scooter,Ola Electric,S1 Pro,2020,154,69
Scooter,Bajaj,Chetak,2020,206,139
Bike,Ultraviolette,F77,2020,107,88
Scooter,Ola Electric,S1 Pro,2021,196,81
Car,BYD,Atto 3,2020,132,162
Bike,Oben Electric,Rorr,2020,262,166
Bike,Ultraviolette,F77,2023,230,114
Scooter,Ather,450X,2019,342,117
Bike,Oben Electric,Rorr,2020,483,97
Scooter,Bajaj,Chetak,2019,241,134
Bike,Ultraviolette,F77,2019,386,121
Scooter,TVS,iQube,2020,356,60
Car,Mahindra,eVerito,2019,207,167
Scooter,Ather,450X,2022,404,140
Scooter,Hero Electric,Optima,2022,450,137
Bike,Ultraviolette,F77,2022,309,123
Car,Mahindra,eVerito,2022,213,140
Scooter,Hero Electric,Optima,2019,210,145
Car,MG,ZS EV,2022,117,64
Scooter,TVS,iQube,2022,138,169
Car,BYD,Atto 3,2023,389,134
Bike,Tork Motors,Kratos,2019,306,80
Car,BYD,Atto 3,2020,189,106
Car,MG,ZS EV,2023,258,121
Car,Tata Motors,Nexon EV,2019,148,71
Scooter,Bajaj,Chetak,2020,239,129
Car,MG,ZS EV,2020,436,76
Car,Tata Motors,Nexon EV,2022,260,85
Bike,PURE EV,eTryst 350,2020,156,173
Scooter,Bajaj,Chetak,2023,277,83
Scooter,Ather,450X,2021,245,154
Scooter,TVS,iQube,2022,127,151
Bike,Tork Motors,Kratos,2021,378,119
Scooter,TVS,iQube,2022,400,60
Scooter,Hero Electric,Optima,2022,348,76
Bike,Revolt Motors,RV400,2019,442,146
Car,Mahindra,eVerito,2019,209,73
Scooter,Ather,450X,2022,373,131
Bike,Ultraviolette,F77,2020,94,69
